epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4678.28,1.01286,0.93547,1.45648,0.915,0.8257,0.91183,0.69438,0.8962,0.69513,1.35827,0.005842,0.005842,0.005842
44,4786.62,1.00713,0.92245,1.45078,0.89694,0.82897,0.90402,0.69206,0.9015,0.70631,1.35911,0.005743,0.005743,0.005743
45,4895.22,1.00935,0.90872,1.44648,0.90663,0.83491,0.90805,0.6907,0.89692,0.69029,1.34238,0.005644,0.005644,0.005644
46,5005.51,1.01634,0.9136,1.4565,0.87272,0.84565,0.90536,0.69217,0.89253,0.70495,1.34207,0.005545,0.005545,0.005545
47,5114.26,1.00462,0.91724,1.44368,0.91087,0.83799,0.91387,0.70582,0.87348,0.66343,1.3321,0.005446,0.005446,0.005446
48,5223.01,1.00005,0.89363,1.44027,0.90272,0.8472,0.91927,0.7134,0.87975,0.642,1.32556,0.005347,0.005347,0.005347
49,5333.9,0.99371,0.88549,1.43311,0.92007,0.83468,0.91429,0.71126,0.8733,0.65158,1.32357,0.005248,0.005248,0.005248
50,5442.8,0.99547,0.89206,1.43409,0.91185,0.84268,0.91523,0.7105,0.87306,0.65112,1.32093,0.005149,0.005149,0.005149
51,5551.17,0.98631,0.88269,1.43252,0.91169,0.84798,0.92034,0.72236,0.84676,0.63201,1.29966,0.00505,0.00505,0.00505
52,5660.76,0.9883,0.88272,1.42687,0.89061,0.84427,0.90904,0.71004,0.8423,0.65255,1.29617,0.004951,0.004951,0.004951
53,5771.61,0.97844,0.8737,1.41739,0.9033,0.85988,0.92021,0.71948,0.85765,0.63442,1.30193,0.004852,0.004852,0.004852
54,5880.82,0.97388,0.86101,1.41249,0.91339,0.83981,0.91043,0.7172,0.84568,0.65197,1.30117,0.004753,0.004753,0.004753
55,5990.33,0.96862,0.85913,1.40642,0.90022,0.86105,0.92115,0.72133,0.85247,0.63415,1.30374,0.004654,0.004654,0.004654
56,6099.56,0.96796,0.85681,1.40816,0.91254,0.84854,0.92013,0.71419,0.85615,0.64029,1.30808,0.004555,0.004555,0.004555
57,6207.93,0.9688,0.8467,1.41299,0.90948,0.85361,0.92053,0.72185,0.84327,0.63111,1.29047,0.004456,0.004456,0.004456
58,6317.45,0.95951,0.83843,1.39605,0.90554,0.86005,0.92453,0.72707,0.85179,0.61587,1.29961,0.004357,0.004357,0.004357
59,6426.56,0.95,0.83635,1.39466,0.9116,0.86745,0.92412,0.72802,0.83492,0.60867,1.2825,0.004258,0.004258,0.004258
60,6536.15,0.95781,0.84188,1.39775,0.90448,0.86242,0.92646,0.72904,0.83497,0.61061,1.2866,0.004159,0.004159,0.004159
61,6646.18,0.95772,0.83112,1.40145,0.90444,0.86465,0.92375,0.72975,0.83529,0.61305,1.28944,0.00406,0.00406,0.00406
62,6757.14,0.95538,0.83188,1.40056,0.91286,0.86387,0.92669,0.73375,0.83189,0.59679,1.28644,0.003961,0.003961,0.003961
63,6866.09,0.94036,0.8181,1.39013,0.90618,0.87175,0.92613,0.73132,0.83664,0.5941,1.28827,0.003862,0.003862,0.003862
