                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89991,                0.93093,                 1.3496,                0.91081,                0.89943,                0.95163,                0.79953,                0.63136,                0.48835,                 1.1072,               0.006634,               0.006634,               0.006634
                     36,                0.90049,                0.93325,                 1.3493,                0.91892,                0.89266,                  0.949,                0.79932,                0.63724,                0.48958,                  1.108,               0.006535,               0.006535,               0.006535
                     37,                 0.8876,                0.91936,                 1.3401,                0.91158,                0.90199,                0.95263,                0.80621,                0.62968,                0.48284,                 1.1025,               0.006436,               0.006436,               0.006436
                     38,                0.88355,                0.90602,                 1.3357,                0.90515,                0.90343,                0.95317,                0.80901,                0.62276,                0.48098,                 1.0943,               0.006337,               0.006337,               0.006337
                     39,                0.87666,                0.89817,                 1.3309,                0.92111,                0.90727,                0.95368,                0.80955,                 0.6176,                0.46643,                 1.0935,               0.006238,               0.006238,               0.006238
                     40,                0.88178,                0.89729,                 1.3319,                0.92355,                 0.9048,                0.95045,                0.80262,                0.63127,                0.47255,                 1.1045,               0.006139,               0.006139,               0.006139
                     41,                0.88063,                0.90111,                 1.3319,                0.92101,                0.90033,                0.95376,                0.80959,                 0.6153,                0.45948,                 1.0913,                0.00604,                0.00604,                0.00604
                     42,                0.87752,                0.88105,                 1.3322,                0.91393,                  0.902,                0.95298,                0.81244,                0.60511,                0.46385,                 1.0794,               0.005941,               0.005941,               0.005941
                     43,                 0.8624,                0.86965,                 1.3158,                  0.922,                0.91031,                0.95355,                0.81453,                0.60226,                0.45459,                 1.0795,               0.005842,               0.005842,               0.005842
                     44,                0.86139,                0.86861,                 1.3155,                0.91546,                0.91698,                0.95733,                0.81862,                0.59758,                0.44709,                 1.0706,               0.005743,               0.005743,               0.005743
                     45,                0.86601,                0.87266,                 1.3216,                0.90859,                0.92453,                0.95461,                0.81525,                0.60379,                0.44959,                 1.0771,               0.005644,               0.005644,               0.005644
                     46,                0.86099,                0.86585,                 1.3141,                0.91912,                0.91534,                0.95638,                 0.8199,                0.60096,                0.44112,                  1.072,               0.005545,               0.005545,               0.005545
                     47,                0.85427,                0.84637,                 1.3084,                0.91468,                0.92742,                0.95864,                0.82501,                0.59355,                0.43053,                 1.0657,               0.005446,               0.005446,               0.005446
                     48,                0.85416,                0.85737,                 1.3075,                0.93089,                0.91339,                0.95786,                0.82477,                0.59014,                0.43582,                 1.0642,               0.005347,               0.005347,               0.005347
